Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
C5orf47,4,0,8,0,9,0,3,0
RPL12P22,0,0,0,0,0,0,0,0
HMP19,9,37,17,2,52,28,27,7
RP11-619L12.3,0,0,0,0,0,0,0,0
RP11-619L12.4,0,0,0,0,0,0,0,0
CTC-229L21.1,0,0,0,0,0,0,0,0
CTC-430J12.2,0,0,0,0,0,0,0,0
LINC01411,0,2,0,0,4,0,5,0
GAPDHP71,1,0,4,2,2,0,1,2
SUMO2P6,0,0,0,0,0,0,0,2
RP11-267A15.3,0,0,0,0,0,0,0,0
HIGD1AP3,0,0,0,0,0,0,0,0
MSX2,0,6,34,30,50,28,22,28
CTD-2532K18.1,0,0,0,0,0,0,0,0
MIR4634,0,0,0,0,0,0,0,0
CTD-2532K18.2,0,0,0,0,0,0,0,0
LINC01951,0,0,0,0,0,0,0,0
NIFKP2,0,0,0,0,0,0,0,0
CTC-281M20.3,0,0,0,0,0,0,0,0
CTC-281M20.4,0,0,0,0,0,0,0,0
ARL2BPP6,0,0,0,0,0,0,0,0
DRD1,7,72,42,104,8,2,7,4
SFXN1,2999,10219,791,1423,1246,957,3703,4874
CTC-571O20.1,0,1,0,0,0,0,0,2
RN7SKP148,0,0,0,0,0,0,0,0
HRH2,85,41,2954,3382,132,88,178,68
RNU6-226P,0,0,1,1,0,0,0,0
CPLX2,12,14,17,11,688,948,26,15
RP11-91H12.1,2,0,0,0,0,17,10,8
RP11-91H12.4,0,0,0,0,3,0,3,7
THOC3,255,259,241,108,698,327,951,963
RP11-91H12.3,0,0,0,0,0,0,0,0
OR1X1P,0,0,0,0,0,0,0,0
RP11-826N14.1,0,0,0,0,0,0,0,0
RP11-826N14.2,0,0,3,1,4,0,107,49
FAM153B,32,32,523,253,516,63,5384,12628
RP11-844P9.1,0,0,0,0,0,0,0,0
RP11-826N14.4,1,0,0,1,1,0,31,48
RP11-844P9.2,24,86,16,14,3,14,2017,7329
RP11-844P9.5,5,13,1,1,2,2,522,1640
RP11-844P9.6,9,28,7,2,6,6,770,1506
RP11-844P9.4,0,0,0,0,0,0,0,11
SIMC1,278,501,920,366,552,315,6640,8890
BRCC3P1,0,8,0,6,4,2,196,258
KIAA1191,2494,5416,5154,4129,6967,4312,12074,14323
RP11-843P14.2,12,14,9,16,14,3,53,23
RP11-843P14.1,32,51,31,34,58,33,154,81
ARL10,68,493,420,707,290,242,4926,4501
MIR1271,0,0,0,0,0,0,0,0
NOP16,905,579,407,443,481,558,835,757
HIGD2A,1222,2080,1765,1113,1875,1497,2866,3007
CLTB,2230,2854,9063,4293,4701,3563,5044,7774
CTB-162J7.1,0,0,0,0,0,0,0,0
FAF2,1821,2453,2774,1937,3748,2572,5814,3700
RNF44,938,2383,4536,4872,3846,2842,8277,7496
CDHR2,3088,2127,32,49,8,10,11,21
RN7SL684P,0,0,2,1,0,0,1,3
GPRIN1,29,8,66,119,36,65,73,3
SNCB,4,6,11,8,36,34,19,2
MIR4281,0,0,0,0,0,0,0,0
EIF4E1B,0,1,0,0,0,5,12,0
TSPAN17,946,1220,2352,1773,3276,2245,2666,2542
RP11-375B1.1,0,0,0,0,0,0,0,0
RP11-375B1.2,0,0,0,0,0,1,0,0
LINC01574,0,0,0,0,2,2,4,5
UNC5A,2,4,33,45,89,159,66,26
HK3,177,251,7056,10416,213,78,382,72
UIMC1,642,1266,2351,3026,2945,2288,6096,4481
ZNF346,368,595,630,508,979,469,2624,2603
ZNF346-IT1,4,12,21,22,12,14,45,34
FGFR4,3170,12754,10465,2886,4983,3427,7500,6369
NSD1,1417,2534,4267,3246,5423,3734,8872,5844
CTD-2301A4.3,0,1,0,9,1,0,12,17
PRMT1P1,5,2,0,12,6,0,6,1
RAB24,1156,2416,2574,3283,3185,4871,3166,3373
